State,District,Sub-District
Andhra Pradesh,Bapatla,Chinaganjam
Andhra Pradesh,Bapatla,Chirala
Andhra Pradesh,Bapatla,Inkollu
Andhra Pradesh,Bapatla,J.Pangulur
Andhra Pradesh,Bapatla,Karamchedu
Andhra Pradesh,Bapatla,Karlapalem
Andhra Pradesh,Bapatla,Kolluru
Andhra Pradesh,Bapatla,Korisapadu
Andhra Pradesh,Bapatla,Martur
Andhra Pradesh,Bapatla,Nagaram
Andhra Pradesh,Bapatla,Nizampatnam
Andhra Pradesh,Bapatla,Parchur
Andhra Pradesh,Bapatla,Pittalavanipalem
Andhra Pradesh,Bapatla,Repalle
Andhra Pradesh,Bapatla,Santhamaguluru
Andhra Pradesh,Bapatla,Tsunduru
Andhra Pradesh,Bapatla,Vemuru
Andhra Pradesh,Bapatla,Vetapalem
Andhra Pradesh,Bapatla,Yeddana Pudi
Andhra Pradesh,Chittoor,Baireddipalle
Andhra Pradesh,Chittoor,Bangarupalem
Andhra Pradesh,Chittoor,Chittoor
Andhra Pradesh,Chittoor,Chowdepalle
Andhra Pradesh,Chittoor,Gangadhara Nellore
Andhra Pradesh,Chittoor,Gangavaram
Andhra Pradesh,Chittoor,Gudipala
Andhra Pradesh,Chittoor,Gudupalle
Andhra Pradesh,Chittoor,Irala
Andhra Pradesh,Chittoor,Karvetinagar
Andhra Pradesh,Chittoor,Kuppam
Andhra Pradesh,Chittoor,Nagari
Andhra Pradesh,Chittoor,Nindra
Andhra Pradesh,Chittoor,Palamaner
Andhra Pradesh,Chittoor,Palasamudram
Andhra Pradesh,Chittoor,Peddapanjani
Andhra Pradesh,Chittoor,Penumur
Andhra Pradesh,Chittoor,Pulicherla
Andhra Pradesh,Chittoor,Punganuru
Andhra Pradesh,Chittoor,Puthalapattu
Andhra Pradesh,Chittoor,Ramakuppam
Andhra Pradesh,Chittoor,Rompicherla
Andhra Pradesh,Chittoor,Santhipuram
Andhra Pradesh,Chittoor,Sodam
Andhra Pradesh,Chittoor,Somala
Andhra Pradesh,Chittoor,Srirangarajapuram
Andhra Pradesh,Chittoor,Thavanampalle
Andhra Pradesh,Chittoor,Vedurukuppam
Andhra Pradesh,Chittoor,Venkatagirikota
Andhra Pradesh,Chittoor,Vijayapuram
Andhra Pradesh,Chittoor,Yadamarri
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Ainavilli
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Alamuru
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Allavaram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Amalapuram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Ambajipeta
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Atreyapuram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,I. Polavaram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Kapileswarapuram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Katrenikona
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,K Gangavaram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Kothapeta
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Malikipuram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Mamidikuduru
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Mandapeta
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Mummidivaram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,P.Gannavaram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Ramachandrapuram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Ravulapalem
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Rayavaram
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Razole
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Sakhinetipalli
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Uppalaguptam
Andhra Pradesh,East Godavari,Anaparthi
Andhra Pradesh,East Godavari,Biccavolu
Andhra Pradesh,East Godavari,Chagallu
Andhra Pradesh,East Godavari,Devarapalle
Andhra Pradesh,East Godavari,Gokavaram
Andhra Pradesh,East Godavari,Gopalapuram
Andhra Pradesh,East Godavari,Kadiam
Andhra Pradesh,East Godavari,Korukonda
Andhra Pradesh,East Godavari,Kovvur
Andhra Pradesh,East Godavari,Nallajerla
Andhra Pradesh,East Godavari,Nidadavole
Andhra Pradesh,East Godavari,Peravali
Andhra Pradesh,East Godavari,Rajamahendravaram Rural
Andhra Pradesh,East Godavari,Rajamahendravaram Urban
Andhra Pradesh,East Godavari,Rajanagaram
Andhra Pradesh,East Godavari,Rangampeta
Andhra Pradesh,East Godavari,Seethanagaram
Andhra Pradesh,East Godavari,Tallapudi
Andhra Pradesh,East Godavari,Undrajavaram
Andhra Pradesh,Eluru,Agiripalli
Andhra Pradesh,Eluru,Bheemadole
Andhra Pradesh,Eluru,Buttayagudem
Andhra Pradesh,Eluru,Chatrai
Andhra Pradesh,Eluru,Chintalapudi
Andhra Pradesh,Eluru,Denduluru
Andhra Pradesh,Eluru,Dwarakatirumala
Andhra Pradesh,Eluru,Eluru
Andhra Pradesh,Eluru,Jangareddigudem
Andhra Pradesh,Eluru,Jeelugu Milli
Andhra Pradesh,Eluru,Kaikaluru
Andhra Pradesh,Eluru,Kalidindi
Andhra Pradesh,Eluru,Kamavarapukota
Andhra Pradesh,Eluru,Koyyalagudem
Andhra Pradesh,Eluru,Kukunoor
Andhra Pradesh,Eluru,Lingapalem
Andhra Pradesh,Eluru,Mandavalli
Andhra Pradesh,Eluru,Mudinepalle
Andhra Pradesh,Eluru,Musunuru
Andhra Pradesh,Eluru,Nidamarru
Andhra Pradesh,Eluru,Nuzividu
Andhra Pradesh,Eluru,Pedapadu
Andhra Pradesh,Eluru,Pedavegi
Andhra Pradesh,Eluru,Polavaram
Andhra Pradesh,Eluru,T.Narasapuram
Andhra Pradesh,Eluru,Unguturu
Andhra Pradesh,Eluru,Velairpadu
Andhra Pradesh,Guntur,Chebrolu
Andhra Pradesh,Guntur,Duggirala
Andhra Pradesh,Guntur,Guntur East
Andhra Pradesh,Guntur,Guntur West
Andhra Pradesh,Guntur,Kakumanu
Andhra Pradesh,Guntur,Kollipara
Andhra Pradesh,Guntur,Mangalagiri
Andhra Pradesh,Guntur,Medikonduru
Andhra Pradesh,Guntur,Pedakakani
Andhra Pradesh,Guntur,Pedanandipadu
Andhra Pradesh,Guntur,Phirangipuram
Andhra Pradesh,Guntur,Ponnur
Andhra Pradesh,Guntur,Prathipadu
Andhra Pradesh,Guntur,Tadepalli
Andhra Pradesh,Guntur,Tadikonda
Andhra Pradesh,Guntur,Tenali
Andhra Pradesh,Guntur,Thulluru
Andhra Pradesh,Guntur,Vatticherukuru
Andhra Pradesh,Kakinada,Gandepalli
Andhra Pradesh,Kakinada,Gollaprolu
Andhra Pradesh,Kakinada,Jaggampeta
Andhra Pradesh,Kakinada,Kajuluru
Andhra Pradesh,Kakinada,Kakinada (Rural)
Andhra Pradesh,Kakinada,Kakinada (Urban)
Andhra Pradesh,Kakinada,Karapa
Andhra Pradesh,Kakinada,Kirlampudi
Andhra Pradesh,Kakinada,Kotananduru
Andhra Pradesh,Kakinada,Pedapudi
Andhra Pradesh,Kakinada,Peddapuram
Andhra Pradesh,Kakinada,Pithapuram
Andhra Pradesh,Kakinada,Prathipadu
Andhra Pradesh,Kakinada,Rowthulapudi
Andhra Pradesh,Kakinada,Samalkota
Andhra Pradesh,Kakinada,Sankhavaram
Andhra Pradesh,Kakinada,Tallarevu
Andhra Pradesh,Kakinada,Thondangi
Andhra Pradesh,Kakinada,Tuni
Andhra Pradesh,Kakinada,U.Kothapalli
Andhra Pradesh,Kakinada,Yeleswaram
Andhra Pradesh,Krishna,Avanigadda
Andhra Pradesh,Krishna,Bantumilli
Andhra Pradesh,Krishna,Bapulapadu
Andhra Pradesh,Krishna,Challapalli
Andhra Pradesh,Krishna,Gannavaram
Andhra Pradesh,Krishna,Ghantasala
Andhra Pradesh,Krishna,Gudivada
Andhra Pradesh,Krishna,Gudlavalleru
Andhra Pradesh,Krishna,Guduru
Andhra Pradesh,Krishna,Kankipadu
Andhra Pradesh,Krishna,Koduru
Andhra Pradesh,Krishna,Kruthivennu
Andhra Pradesh,Krishna,Machilipatnam
Andhra Pradesh,Krishna,Mopidevi
Andhra Pradesh,Krishna,Movva
Andhra Pradesh,Krishna,Nagayalanka
Andhra Pradesh,Krishna,Nandivada
Andhra Pradesh,Krishna,Pamarru
Andhra Pradesh,Krishna,Pamidimukkala
Andhra Pradesh,Krishna,Pedana
Andhra Pradesh,Krishna,Pedaparupudi
Andhra Pradesh,Krishna,Penamaluru
Andhra Pradesh,Krishna,Thotlavalluru
Andhra Pradesh,Krishna,Unguturu
Andhra Pradesh,Krishna,Vuyyuru
Andhra Pradesh,Kurnool,Adoni
Andhra Pradesh,Kurnool,Alur
Andhra Pradesh,Kurnool,Aspari
Andhra Pradesh,Kurnool,C.Belagal
Andhra Pradesh,Kurnool,Chippagiri
Andhra Pradesh,Kurnool,Devanakonda
Andhra Pradesh,Kurnool,Gonegandla
Andhra Pradesh,Kurnool,Gudur
Andhra Pradesh,Kurnool,Halaharvi
Andhra Pradesh,Kurnool,Holagunda
Andhra Pradesh,Kurnool,Kallur
Andhra Pradesh,Kurnool,Kodumur
Andhra Pradesh,Kurnool,Kosigi
Andhra Pradesh,Kurnool,Kowthalam
Andhra Pradesh,Kurnool,Krishnagiri
Andhra Pradesh,Kurnool,Kurnool Rural
Andhra Pradesh,Kurnool,Kurnool Urban
Andhra Pradesh,Kurnool,Maddikera (East)
Andhra Pradesh,Kurnool,Mantralayam
Andhra Pradesh,Kurnool,Nandavaram
Andhra Pradesh,Kurnool,Orvakal
Andhra Pradesh,Kurnool,Pattikonda
Andhra Pradesh,Kurnool,Pedda Kadubur
Andhra Pradesh,Kurnool,Tuggali
Andhra Pradesh,Kurnool,Veldurthy
Andhra Pradesh,Kurnool,Yemmiganur
Andhra Pradesh,Nandyal,Allagadda
Andhra Pradesh,Nandyal,Atmakur
Andhra Pradesh,Nandyal,Banaganapalli
Andhra Pradesh,Nandyal,Bandi Atmakur
Andhra Pradesh,Nandyal,Bethamcherla
Andhra Pradesh,Nandyal,Chagalamarri
Andhra Pradesh,Nandyal,Dhone
Andhra Pradesh,Nandyal,Dornipadu
Andhra Pradesh,Nandyal,Gadivemula
Andhra Pradesh,Nandyal,Gospadu
Andhra Pradesh,Nandyal,Jupadu Bunglow
Andhra Pradesh,Nandyal,Koilakuntla
Andhra Pradesh,Nandyal,Kolimigundla
Andhra Pradesh,Nandyal,Kothapalle
Andhra Pradesh,Nandyal,Mahanandi
Andhra Pradesh,Nandyal,Midthur
Andhra Pradesh,Nandyal,Nandikotkur
Andhra Pradesh,Nandyal,Nandyal
Andhra Pradesh,Nandyal,Owk
Andhra Pradesh,Nandyal,Pagidyala
Andhra Pradesh,Nandyal,Pamulapadu
Andhra Pradesh,Nandyal,Panyam
Andhra Pradesh,Nandyal,Peapully
Andhra Pradesh,Nandyal,Rudravaram
Andhra Pradesh,Nandyal,Sanjamala
Andhra Pradesh,Nandyal,Sirvel
Andhra Pradesh,Nandyal,Srisailam
Andhra Pradesh,Nandyal,Uyyalawada
Andhra Pradesh,Nandyal,Velugodu
Andhra Pradesh,Ntr,Atlapragada Konduru
Andhra Pradesh,Ntr,Chandarlapadu
Andhra Pradesh,Ntr,Gaddamanugu Konduru
Andhra Pradesh,Ntr,Gampalagudem
Andhra Pradesh,Ntr,Ibrahimpatnam
Andhra Pradesh,Ntr,Jaggaiahpeta
Andhra Pradesh,Ntr,Kanchikacherla
Andhra Pradesh,Ntr,Mylavaram
Andhra Pradesh,Ntr,Nandigama
Andhra Pradesh,Ntr,Penuganchiprolu
Andhra Pradesh,Ntr,Reddigudem
Andhra Pradesh,Ntr,Tiruvuru
Andhra Pradesh,Ntr,Vatsavai
Andhra Pradesh,Ntr,Veerullapadu
Andhra Pradesh,Ntr,Vijayawada Central
Andhra Pradesh,Ntr,Vijayawada East
Andhra Pradesh,Ntr,Vijayawada North
Andhra Pradesh,Ntr,Vijayawada (Rural)
Andhra Pradesh,Ntr,Vijayawada West
Andhra Pradesh,Ntr,Vissannapeta
Andhra Pradesh,Palnadu,Amaravathi
Andhra Pradesh,Palnadu,Atchampet
Andhra Pradesh,Palnadu,Bellamkonda
Andhra Pradesh,Palnadu,Bollapalli
Andhra Pradesh,Palnadu,Chilakaluripet H/O.Purushotha Patnam
Andhra Pradesh,Palnadu,Dachepalli
Andhra Pradesh,Palnadu,Durgi
Andhra Pradesh,Palnadu,Edlapadu
Andhra Pradesh,Palnadu,Gurajala
Andhra Pradesh,Palnadu,Ipuru
Andhra Pradesh,Palnadu,Karempudi
Andhra Pradesh,Palnadu,Krosuru
Andhra Pradesh,Palnadu,Machavaram
Andhra Pradesh,Palnadu,Macherla
Andhra Pradesh,Palnadu,Muppalla
Andhra Pradesh,Palnadu,Nadendla
Andhra Pradesh,Palnadu,Narasaraopet
Andhra Pradesh,Palnadu,Nekarikallu
Andhra Pradesh,Palnadu,Nuzendla
Andhra Pradesh,Palnadu,Pedakurapadu
Andhra Pradesh,Palnadu,Piduguralla
Andhra Pradesh,Palnadu,Rajupalem
Andhra Pradesh,Palnadu,Rentachintala
Andhra Pradesh,Palnadu,Rompicharla
Andhra Pradesh,Palnadu,Sattenapalli
Andhra Pradesh,Palnadu,Savalyapuram H/O Kanamarlapudi
Andhra Pradesh,Palnadu,Veldurthy
Andhra Pradesh,Palnadu,Vinukonda
Andhra Pradesh,Parvathipuram Manyam,Balijipeta
Andhra Pradesh,Parvathipuram Manyam,Bhamini
Andhra Pradesh,Parvathipuram Manyam,Garugubilli
Andhra Pradesh,Parvathipuram Manyam,Gummalakshmipuram
Andhra Pradesh,Parvathipuram Manyam,Jiyyammavalasa
Andhra Pradesh,Parvathipuram Manyam,Komarada
Andhra Pradesh,Parvathipuram Manyam,Kurupam
Andhra Pradesh,Parvathipuram Manyam,Makkuva
Andhra Pradesh,Parvathipuram Manyam,Pachipenta
Andhra Pradesh,Parvathipuram Manyam,Palakonda
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram
Andhra Pradesh,Parvathipuram Manyam,Salur
Andhra Pradesh,Parvathipuram Manyam,Seethampeta
Andhra Pradesh,Parvathipuram Manyam,Seethanagaram
Andhra Pradesh,Parvathipuram Manyam,Veeraghattam
Andhra Pradesh,Prakasam,Ardhaveedu
Andhra Pradesh,Prakasam,Bestavaripeta
Andhra Pradesh,Prakasam,Chandra Sekhara Puram
Andhra Pradesh,Prakasam,Chimakurthy
Andhra Pradesh,Prakasam,Cumbum
Andhra Pradesh,Prakasam,Darsi
Andhra Pradesh,Prakasam,Donakonda
Andhra Pradesh,Prakasam,Dornala
Andhra Pradesh,Prakasam,Giddalur
Andhra Pradesh,Prakasam,Hanumanthuni Padu
Andhra Pradesh,Prakasam,Kanigiri
Andhra Pradesh,Prakasam,Komarolu
Andhra Pradesh,Prakasam,Konakanamitla
Andhra Pradesh,Prakasam,Kondapi
Andhra Pradesh,Prakasam,Kotha Patnam
Andhra Pradesh,Prakasam,Kurichedu
Andhra Pradesh,Prakasam,Maddipadu
Andhra Pradesh,Prakasam,Markapuram
Andhra Pradesh,Prakasam,Marripudi
Andhra Pradesh,Prakasam,Mundlamuru
Andhra Pradesh,Prakasam,Naguluppala Padu
Andhra Pradesh,Prakasam,Ongole
Andhra Pradesh,Prakasam,Pamur
Andhra Pradesh,Prakasam,Pedacherlo Palle
Andhra Pradesh,Prakasam,Peddaaraveedu
Andhra Pradesh,Prakasam,Podili
Andhra Pradesh,Prakasam,Ponnaluru
Andhra Pradesh,Prakasam,Pullalacheruvu
Andhra Pradesh,Prakasam,Racherla
Andhra Pradesh,Prakasam,Santhanuthala Padu
Andhra Pradesh,Prakasam,Singarayakonda
Andhra Pradesh,Prakasam,Tangutur
Andhra Pradesh,Prakasam,Tarlupadu
Andhra Pradesh,Prakasam,Thallur
Andhra Pradesh,Prakasam,Tripuranthakam
Andhra Pradesh,Prakasam,Veligandla
Andhra Pradesh,Prakasam,Yerragondapalem
Andhra Pradesh,Prakasam,Zarugumalli
Andhra Pradesh,Srikakulam,Amadalavalasa
Andhra Pradesh,Srikakulam,Burja
Andhra Pradesh,Srikakulam,Etcherla
Andhra Pradesh,Srikakulam,Ganguvarisigadam
Andhra Pradesh,Srikakulam,Gara
Andhra Pradesh,Srikakulam,Hiramandalam
Andhra Pradesh,Srikakulam,Ichchapuram
Andhra Pradesh,Srikakulam,Jalumuru
Andhra Pradesh,Srikakulam,Kanchili
Andhra Pradesh,Srikakulam,Kaviti
Andhra Pradesh,Srikakulam,Kotabommali
Andhra Pradesh,Srikakulam,Kothuru
Andhra Pradesh,Srikakulam,Laveru
Andhra Pradesh,Srikakulam,Laxminarasupeta
Andhra Pradesh,Srikakulam,Mandasa
Andhra Pradesh,Srikakulam,Meliaputti
Andhra Pradesh,Srikakulam,Nandigam
Andhra Pradesh,Srikakulam,Narasannapeta
Andhra Pradesh,Srikakulam,Palasa
Andhra Pradesh,Srikakulam,Pathapatnam
Andhra Pradesh,Srikakulam,Polaki
Andhra Pradesh,Srikakulam,Ponduru
Andhra Pradesh,Srikakulam,Ranastalam
Andhra Pradesh,Srikakulam,Santhabommali
Andhra Pradesh,Srikakulam,Saravakota
Andhra Pradesh,Srikakulam,Sarubujjili
Andhra Pradesh,Srikakulam,Sompeta
Andhra Pradesh,Srikakulam,Srikakulam
Andhra Pradesh,Srikakulam,Tekkali
Andhra Pradesh,Srikakulam,Vajrapukotturu
Andhra Pradesh,Sri Potti Sriramulu Nellore,Allur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Ananthasagaram
Andhra Pradesh,Sri Potti Sriramulu Nellore,Anumasamudrampeta
Andhra Pradesh,Sri Potti Sriramulu Nellore,Atmakur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Bogole
Andhra Pradesh,Sri Potti Sriramulu Nellore,Buchireddipalem
Andhra Pradesh,Sri Potti Sriramulu Nellore,Chejerla
Andhra Pradesh,Sri Potti Sriramulu Nellore,Dagadarthi
Andhra Pradesh,Sri Potti Sriramulu Nellore,Duttalur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Gudluru
Andhra Pradesh,Sri Potti Sriramulu Nellore,Indukurpet
Andhra Pradesh,Sri Potti Sriramulu Nellore,Jaladanki
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kaligiri
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kaluvoya
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kandukuru
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kavali
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kodavalur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kondapuram
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kovur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Lingasamudram
Andhra Pradesh,Sri Potti Sriramulu Nellore,Manubolu
Andhra Pradesh,Sri Potti Sriramulu Nellore,Marripadu
Andhra Pradesh,Sri Potti Sriramulu Nellore,Muthukur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore Rural
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore Urban
Andhra Pradesh,Sri Potti Sriramulu Nellore,Podalakur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Rapur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Sangam
Andhra Pradesh,Sri Potti Sriramulu Nellore,Seetharamapuram
Andhra Pradesh,Sri Potti Sriramulu Nellore,Sydapuram
Andhra Pradesh,Sri Potti Sriramulu Nellore,Thotapalligudur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Udayagiri
Andhra Pradesh,Sri Potti Sriramulu Nellore,Ulavapadu
Andhra Pradesh,Sri Potti Sriramulu Nellore,Varikuntapadu
Andhra Pradesh,Sri Potti Sriramulu Nellore,Venkatachalam
Andhra Pradesh,Sri Potti Sriramulu Nellore,Vidavalur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Vinjamur
Andhra Pradesh,Sri Potti Sriramulu Nellore,Voletivaripalem
Andhra Pradesh,Sri Sathya Sai,Agali
Andhra Pradesh,Sri Sathya Sai,Amadagur
Andhra Pradesh,Sri Sathya Sai,Amarapuram
Andhra Pradesh,Sri Sathya Sai,Bathalapalli
Andhra Pradesh,Sri Sathya Sai,Bukkapatnam
Andhra Pradesh,Sri Sathya Sai,Chennekothapalli
Andhra Pradesh,Sri Sathya Sai,Chilamathur
Andhra Pradesh,Sri Sathya Sai,Dharmavaram
Andhra Pradesh,Sri Sathya Sai,Gandlapenta
Andhra Pradesh,Sri Sathya Sai,Gorantla
Andhra Pradesh,Sri Sathya Sai,Gudibanda
Andhra Pradesh,Sri Sathya Sai,Hindupur
Andhra Pradesh,Sri Sathya Sai,Kadiri
Andhra Pradesh,Sri Sathya Sai,Kanaganipalli
Andhra Pradesh,Sri Sathya Sai,Kothacheruvu
Andhra Pradesh,Sri Sathya Sai,Lepakshi
Andhra Pradesh,Sri Sathya Sai,Madakasira
Andhra Pradesh,Sri Sathya Sai,Mudigubba
Andhra Pradesh,Sri Sathya Sai,Nallachervu
Andhra Pradesh,Sri Sathya Sai,Nallamada
Andhra Pradesh,Sri Sathya Sai,Nambulapulakunta
